alim17_1,alim17_2,alim17_3,alim17_4,alim17_5,alim17_6,alim17_7,alim17_8,alim17_9,alim17_10,alim17_11,num_auto,num_moto,num_bici,num_radio,num_tvd,num_licua,num_micro,num_refri,num_estuf,num_lavad,num_planc,num_venti,num_compu,num_impre,num_juego,ing_tri
7,0,5,7,7,3,3,7,7,7,7,0,0,0,1,0,1,0,1,1,1,1,2,0,0,0,15114.03
7,2,7,7,3,7,2,7,7,7,7,1,0,0,0,2,1,0,1,1,1,1,2,0,0,0,79309.38
7,2,7,4,6,2,0,2,4,7,5,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,21530.36
7,0,7,7,6,4,1,3,7,6,7,2,0,0,0,2,1,1,1,1,1,1,2,1,0,2,78439.2
7,4,7,5,3,7,3,2,7,7,7,2,0,0,0,2,1,1,1,1,1,1,1,3,2,2,117522.02
7,2,2,7,4,5,5,7,7,7,6,0,0,0,0,1,1,1,1,1,1,1,3,1,0,1,71055.23
7,3,7,7,0,2,3,7,0,7,7,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,11933.7
7,0,7,7,2,3,2,3,7,7,0,3,0,0,1,0,1,0,1,1,1,1,1,0,0,0,15662.97
7,4,7,7,3,7,2,5,7,7,7,2,0,1,0,1,1,1,1,1,1,1,2,2,2,0,169141.28
7,1,7,7,3,0,1,0,7,7,7,1,0,0,1,2,1,1,1,1,2,1,3,1,0,0,35217.38
7,1,4,1,3,1,1,2,5,4,1,2,0,0,0,1,1,1,1,0,1,1,0,2,2,1,24999.43
7,3,7,0,2,1,1,7,2,7,4,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,12323.14
7,2,7,7,2,7,2,7,7,7,7,1,0,0,2,2,1,1,1,1,1,1,3,0,0,0,76842.36
7,4,5,6,6,5,0,7,7,7,7,0,0,0,1,1,1,1,1,1,1,1,2,1,1,0,31548.87
7,2,2,2,2,1,1,7,7,7,5,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,76377.69
7,0,7,7,4,4,1,4,4,7,7,2,0,6,0,7,1,2,1,1,4,2,0,2,0,1,23967.38
7,2,2,5,3,3,1,3,7,7,7,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,9655.43
7,0,7,4,0,1,1,7,1,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,19358.8
7,3,4,4,2,4,0,5,7,7,7,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,37760.85
7,1,2,1,1,1,0,3,3,2,7,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,3326.57
7,2,7,7,5,3,0,7,7,7,7,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,12961.93
7,3,5,4,5,3,1,3,7,7,7,3,0,0,0,3,1,1,1,1,2,1,1,1,1,4,30815.21
7,2,3,3,7,7,0,7,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33934.41
7,0,7,7,4,2,0,4,2,7,0,1,0,0,0,0,1,0,1,1,0,0,2,1,1,0,22032.76
7,1,7,0,1,2,0,7,7,7,7,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,57295.07
7,3,7,7,3,3,2,3,7,7,7,0,0,0,0,2,1,1,1,1,0,1,1,0,0,0,89813.1
7,2,1,0,2,2,0,3,0,7,5,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,31893.39
7,0,1,7,3,1,0,7,7,7,7,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,48073.72
7,0,7,7,2,0,1,7,7,7,7,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,7377.03
7,1,7,2,3,7,0,7,7,7,7,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,22069.15
7,1,1,7,7,7,1,7,2,7,7,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,24639.33
7,2,3,7,7,1,0,7,7,7,7,3,1,0,0,3,1,1,1,1,1,1,1,2,0,1,167975.33
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,1,1,1,1,3,0,0,0,110640.97
7,2,7,7,6,0,1,6,7,7,7,1,0,0,0,2,1,1,1,1,1,1,2,1,0,1,44227.81
7,2,7,7,6,4,1,3,6,7,7,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,103131.13
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,29999.98
7,2,7,2,1,4,0,4,7,7,3,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,14478.67
5,2,7,7,3,2,3,0,2,4,7,1,0,0,1,2,1,1,1,1,0,1,0,1,0,0,32167.83
7,0,2,0,2,3,0,5,0,7,0,1,0,0,0,0,1,1,1,1,1,0,3,1,0,0,37750.81
7,1,7,3,1,0,0,7,0,7,7,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,41350.77
7,1,3,4,2,3,1,5,4,7,7,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,6049.17
7,4,1,3,3,3,0,4,7,7,7,2,1,0,0,1,1,1,1,1,1,1,2,0,0,0,56924.2
7,0,0,2,0,2,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5901.63
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,0,0,0,94131.14
7,4,3,7,3,7,0,7,7,7,4,0,0,1,0,1,1,0,1,1,1,1,2,1,0,0,92163.89
7,2,0,0,0,4,0,7,7,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9014.72
7,0,2,5,3,0,0,7,7,0,7,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,14606.55
7,0,0,0,0,3,0,7,0,7,7,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,14596.71
7,1,2,7,2,0,1,7,7,7,7,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,50590.76
7,2,7,3,3,7,0,7,7,7,7,1,0,0,0,0,2,1,1,1,1,2,0,0,0,0,24749.97
7,3,2,4,3,3,0,3,7,7,7,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,33456.5
7,1,7,2,3,3,0,7,7,7,7,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,12717.39
7,1,1,7,2,2,1,3,7,7,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,10711.94
7,0,7,2,7,3,0,7,7,7,7,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,17706.48
7,1,7,7,2,0,0,7,7,7,7,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,4842.37
7,2,7,7,5,2,2,7,7,7,2,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,14673.91
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15309.74
7,0,3,7,7,0,0,2,7,7,7,1,0,1,1,1,1,1,1,1,1,1,0,2,0,0,46247.26
7,3,7,7,2,3,1,3,7,7,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,56714.67
7,3,7,4,4,4,2,7,7,7,2,0,0,0,0,2,1,1,1,1,1,1,0,1,1,0,37650.8
7,3,7,7,4,4,2,7,2,7,4,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,10516.29
7,5,7,7,7,7,3,7,7,7,7,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,40646.72
7,2,7,2,3,7,1,7,7,7,7,1,0,0,0,2,1,1,1,1,1,1,1,1,1,0,42872.25
7,4,3,2,3,7,0,4,3,7,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,22793.43
7,7,7,4,1,0,0,7,0,7,0,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,10565.21
7,2,5,5,3,3,1,7,7,7,7,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,23478.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,4636.95
7,2,7,7,2,4,0,7,7,7,7,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,30688.01
7,2,2,7,5,1,0,2,7,7,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,7571.73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5771.73
6,1,7,7,6,2,0,4,7,7,7,2,0,1,1,0,1,1,1,1,1,1,0,0,0,1,28100.52
7,7,7,3,3,4,0,3,4,5,2,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,15065.2
7,2,7,7,3,5,2,7,7,7,7,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,35217.39
7,7,7,7,4,4,4,7,3,3,7,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,6749.99
7,0,1,3,0,2,0,5,3,2,7,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,10394
7,1,7,7,7,7,0,3,2,7,7,0,0,1,2,1,1,1,1,1,2,1,1,1,0,0,31793.47
7,2,4,4,7,1,7,2,7,7,7,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,48423.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,17608.69
7,2,7,7,2,3,2,7,7,7,7,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,32353.03
7,3,7,7,7,7,1,7,7,7,7,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,66619.56
7,2,5,7,3,5,0,7,7,7,7,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,14722.81
7,0,7,5,7,2,0,3,7,7,7,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,3423.91
7,2,3,7,3,3,0,6,7,7,5,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,13859.98
7,2,2,5,7,7,2,7,3,7,7,1,0,0,1,3,1,1,1,1,1,1,3,1,1,0,120815.19
7,1,7,7,4,7,0,5,7,7,7,0,0,1,1,0,1,0,1,1,0,1,2,0,0,0,17021.73
7,3,3,7,4,7,0,7,7,7,7,1,0,1,1,0,2,1,1,1,2,2,2,0,0,0,37663.03
7,3,5,7,3,7,1,7,7,7,7,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,31377.69
7,3,7,7,3,4,0,7,7,7,7,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,99782.6
7,2,2,5,0,7,0,7,7,7,7,1,0,0,0,2,1,1,1,1,1,1,1,0,0,1,15485.86
7,1,7,7,3,2,1,7,0,7,7,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,9557.6
7,1,4,7,6,3,1,2,7,7,7,0,0,0,2,1,1,1,1,1,1,2,5,1,1,0,29347.82
7,1,5,7,5,2,2,5,7,7,5,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,79434.76
7,4,3,4,7,4,0,4,6,7,7,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,33749.98
7,7,7,7,3,2,4,5,7,7,7,0,0,0,2,0,2,1,1,1,1,1,1,0,0,0,22304.33
7,1,4,2,5,0,0,2,2,5,7,0,0,1,1,1,1,1,1,1,1,1,2,1,1,0,7434.78
7,4,7,7,4,4,3,7,7,7,7,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,21717.38
7,0,7,7,3,0,0,4,7,7,7,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,14595.65
7,2,3,7,4,7,0,7,7,7,7,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,24634.55
7,2,0,3,3,3,0,7,5,7,7,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,37139.62
7,6,0,0,0,7,0,6,0,7,7,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,23606.54
7,2,2,3,2,7,1,2,7,7,7,2,0,0,1,0,1,1,1,1,1,2,0,0,0,0,25032.77
7,1,3,3,7,3,0,7,7,7,3,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,60236.01
7,0,7,0,7,1,0,2,2,7,7,1,0,1,1,3,1,1,1,1,1,1,1,1,0,0,32065.56
7,2,2,2,0,7,1,7,7,7,7,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,5901.63
7,1,0,0,2,2,1,1,1,7,7,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,12098.35
7,0,3,3,7,3,3,5,7,7,7,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,30688.51
4,0,2,7,1,4,1,1,3,7,7,2,0,1,0,1,1,2,2,1,2,3,1,2,1,0,92508.17
7,2,2,7,7,2,2,7,7,7,7,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,55573.76
7,4,4,1,1,7,0,7,0,7,7,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,10032.77
7,2,7,7,7,7,1,2,7,1,7,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,19475.4
0,3,7,7,1,1,7,4,7,7,7,0,0,0,0,1,1,0,1,1,1,1,1,2,1,0,5803.26
7,2,3,2,3,3,0,7,7,7,3,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,30858.53
7,0,7,7,7,7,3,5,7,7,7,1,0,2,0,3,1,1,1,1,0,0,0,0,0,1,43259.66
3,0,4,7,4,0,2,0,3,0,4,1,0,2,0,0,1,1,1,1,1,1,0,1,0,0,72720.96
7,1,7,7,2,1,1,7,7,7,7,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,12828.72
2,4,7,7,2,4,4,5,7,7,7,0,0,4,0,1,1,0,1,1,1,1,2,1,1,0,50718.22
7,0,7,7,4,0,2,7,7,7,0,0,0,0,2,2,1,1,1,1,1,1,0,0,0,0,57513.71
7,0,7,4,7,7,0,7,7,7,7,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,12535.59
7,4,7,7,7,6,0,5,7,7,7,3,0,3,1,4,1,1,1,1,1,1,0,3,0,1,113330.35
7,7,7,7,2,5,2,4,7,7,7,1,0,0,0,3,1,1,1,1,1,1,0,1,1,2,60662.96
7,2,7,7,7,2,1,7,7,7,1,2,0,2,0,1,1,1,1,2,1,1,0,1,0,1,38237.55
0,7,7,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1491.71
7,3,7,7,1,7,2,7,3,7,7,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,6778.34
7,2,2,0,0,0,0,7,2,3,0,0,0,0,3,0,1,1,0,1,1,2,1,1,0,0,62853.24
7,1,7,7,7,2,1,7,7,7,7,2,0,0,0,1,1,1,1,1,1,1,2,1,1,0,19663.03
7,3,7,7,3,3,2,7,7,7,7,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,25654.86
7,0,0,0,1,7,1,7,7,7,0,0,0,1,0,1,1,0,1,0,2,1,0,0,0,0,34046.37
7,3,4,5,3,5,2,3,6,5,7,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,38152.17
7,3,2,0,4,2,0,4,7,7,7,1,0,0,2,2,1,1,1,1,1,1,2,1,0,2,31720.06
7,2,7,7,6,7,1,7,7,7,2,1,0,0,1,2,1,0,1,1,1,1,1,2,1,0,186603.23
7,1,4,2,2,7,0,7,3,7,2,2,0,2,1,1,1,1,1,1,1,1,1,2,1,0,115581.49
7,3,3,3,0,4,0,2,3,7,7,0,0,0,2,0,1,0,1,1,1,1,0,0,0,0,22343.44
3,4,7,7,4,3,3,7,7,7,7,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,64711.93
7,3,7,7,3,7,1,3,2,7,4,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,9660.31
7,1,7,2,5,5,1,7,7,7,7,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,3521.73
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,3,1,1,0,45418.01
7,5,7,5,4,3,2,5,7,4,7,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,66618.88
7,1,7,7,4,0,1,4,7,3,3,1,1,0,1,1,1,1,1,1,1,1,0,2,1,1,23409.81
7,2,3,2,0,3,0,7,0,7,7,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,47975.36
7,3,3,7,3,7,2,7,7,7,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,116704.86
7,0,3,7,4,0,1,7,7,7,7,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,28278.68
7,3,3,7,3,7,1,3,7,7,7,0,0,0,0,1,1,1,1,1,1,1,2,1,1,0,35237.68
7,5,7,0,0,3,1,7,3,7,7,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,29213.11
7,3,7,7,1,7,1,7,7,7,7,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,23414.75
7,2,4,2,1,7,0,3,3,7,7,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,37868.84
7,2,2,7,3,7,1,7,2,7,7,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,21221.31
7,2,4,7,4,1,1,3,7,7,7,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,30839.65
7,7,7,7,3,7,0,7,7,7,7,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,117391.29
4,3,7,4,7,1,0,0,2,7,7,0,0,1,0,2,1,1,1,1,1,1,1,0,0,0,14086.95
7,2,7,3,4,7,1,7,7,7,7,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,10271.73
7,2,7,7,4,1,1,3,7,7,7,1,1,0,0,3,1,1,1,1,1,1,1,1,0,0,86527.13
7,3,7,3,4,7,2,7,0,7,7,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,128176.58
7,2,4,4,3,2,1,3,7,7,7,1,0,1,0,2,1,1,1,1,1,1,1,1,0,1,7630.43
5,1,5,7,5,2,2,4,5,5,7,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,54684.78
7,2,7,7,3,2,1,7,7,7,7,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,4358.13
4,3,6,5,4,4,0,3,4,6,5,0,1,0,0,0,1,0,1,1,1,1,1,2,1,1,56103.23
7,3,3,4,2,3,0,3,2,7,7,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,26902.17
7,1,7,7,5,5,2,5,7,7,5,4,0,0,0,2,1,1,1,1,1,1,3,2,1,1,4847.27
2,3,7,7,2,1,2,3,6,7,2,2,0,0,0,1,1,1,1,1,1,1,0,1,1,0,62569.53
1,2,7,7,2,4,5,2,7,7,7,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,193695.64
7,3,3,7,2,7,0,7,7,7,7,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,39135.75
7,3,7,3,2,3,0,7,7,7,7,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,9684.78
0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,21184.21
7,3,4,3,4,5,0,7,7,7,7,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,11739.12
7,2,5,7,2,7,1,4,7,7,7,1,0,0,1,1,1,0,1,1,2,2,1,1,1,0,80095.08
7,1,1,7,1,3,1,7,3,7,7,1,0,0,1,0,1,1,1,1,1,1,2,0,0,0,67255.4
7,3,7,7,7,7,0,7,7,7,7,1,0,0,1,5,1,1,1,1,1,1,2,2,0,0,53290.73
7,2,7,7,3,4,1,7,7,7,7,0,0,0,1,2,1,1,1,1,1,1,0,0,0,1,9435.32
7,1,7,7,2,7,1,7,7,5,7,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,130353.23
7,1,3,4,4,2,1,7,2,7,7,1,0,0,1,1,1,1,1,1,1,1,2,1,1,0,19956.5
7,3,3,7,3,0,1,4,0,7,7,2,0,0,0,1,1,1,1,1,1,1,0,1,0,0,5380.43
4,0,3,3,1,1,0,7,0,3,3,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,39252.7
7,2,1,7,1,2,0,7,0,7,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,26487.38
7,2,2,7,7,7,2,7,7,7,7,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,120815.2
7,2,3,2,2,0,0,7,7,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,29176.6
7,2,7,7,7,4,2,4,7,6,7,1,0,0,1,2,1,1,1,1,1,1,0,1,1,0,13059.76
7,0,2,3,7,2,0,1,7,7,7,1,0,1,1,1,1,2,1,1,1,1,1,1,1,0,18684.76
7,1,7,3,3,3,2,7,7,7,4,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,38934.73
7,0,0,7,7,5,0,7,7,5,7,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,19198.36
7,0,7,7,7,0,0,7,7,7,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,50754.07
7,2,7,5,7,4,1,7,7,7,7,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,64868.84
7,2,7,3,0,0,0,4,7,7,7,2,0,0,0,2,1,1,1,1,1,1,1,1,0,0,13514.74
7,1,7,3,3,1,1,3,7,7,7,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,7377.04
7,2,7,2,1,0,1,7,7,7,7,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,9589.16
7,7,7,7,2,1,2,7,7,7,7,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,45334.41
7,1,7,7,2,2,1,7,2,7,7,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,20114.73
7,3,7,7,3,2,0,7,4,7,7,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,16119.31
7,1,7,7,4,7,3,7,3,7,3,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,29478.66
7,1,7,5,3,3,0,5,7,7,7,0,0,0,0,3,1,1,1,1,1,1,0,2,0,0,13425.4
7,1,7,7,1,3,0,7,7,7,0,1,0,0,0,2,1,1,1,1,1,1,3,1,0,0,121515.34
7,1,7,7,2,3,4,7,3,7,2,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,148151.84
7,1,7,7,7,7,1,7,7,7,7,2,0,0,0,3,1,1,1,1,1,1,0,3,0,0,137018.66
7,7,7,3,2,5,1,2,3,7,7,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,20088.39
7,3,2,1,1,7,0,7,2,7,7,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,19715.45
7,1,3,7,3,3,0,2,7,7,7,1,0,0,0,3,1,1,1,1,0,1,0,1,1,0,42444.16
7,4,7,7,7,4,1,7,5,7,7,1,0,0,0,1,1,1,1,1,1,1,0,2,1,0,20685.05
7,1,7,7,4,0,1,7,7,7,7,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,16356.59
4,7,7,7,7,7,1,7,7,7,7,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,95469.6
4,2,5,2,1,3,0,4,3,7,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,71736.42
7,2,7,2,4,7,1,7,2,7,7,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,4243.91
5,3,3,5,3,4,1,2,5,5,4,0,0,0,0,0,1,1,1,0,0,0,2,1,0,0,27646.39
7,3,4,2,4,3,1,2,7,7,7,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,58987.26
7,2,0,7,7,7,1,7,2,7,7,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,39802.94
7,2,2,2,1,7,1,7,4,7,2,1,0,1,0,1,1,1,1,1,1,2,0,0,0,0,30873.89
7,1,0,0,1,3,0,7,2,7,7,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,57790.72
7,0,3,0,0,4,3,7,7,7,7,0,0,1,1,2,1,1,1,1,1,0,3,2,1,0,17168.47
7,1,7,7,3,7,2,5,7,7,7,2,0,0,1,2,2,1,2,1,1,1,4,3,1,1,15676.61
7,0,7,7,7,2,3,2,7,7,5,2,0,0,1,1,1,1,1,1,1,1,0,1,1,0,56587.47
7,2,7,7,2,5,3,7,5,7,7,1,0,0,0,3,1,1,1,1,1,1,1,1,1,1,76671.16
7,1,7,7,4,2,1,3,7,7,7,1,0,0,0,3,1,1,1,1,1,2,4,4,1,1,10120.09
7,0,7,7,4,3,1,2,7,7,7,2,0,0,0,2,1,1,1,1,1,1,2,3,1,3,108166.78
7,0,7,7,3,5,3,7,7,7,7,2,0,0,0,4,1,1,1,1,1,1,3,3,1,1,11103.23
7,2,7,7,7,7,3,7,7,7,7,3,0,0,0,4,1,1,1,1,1,1,4,5,1,4,30182.26
3,4,5,5,4,3,3,7,4,7,6,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,52273.33
7,1,3,0,3,2,0,7,7,7,5,0,0,2,1,1,1,0,1,1,1,1,0,1,1,0,36568.33
7,1,3,3,2,3,1,7,7,7,7,0,0,0,1,2,1,1,1,1,1,1,1,1,1,0,53951.06
7,2,3,5,2,7,0,7,7,7,7,0,0,2,1,0,1,1,1,1,1,1,0,1,0,1,42671.67
7,3,7,7,0,2,0,7,7,7,7,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,12978.67
